p	c	rel	tg_p	tg_c	tg_diff	step
4637	19551	-1	707	453	254	step 2	
3549	19551	-1	576	453	123	step 2	
1299	12859	-1	2510	447	2063	step 2	
2914	12859	-1	1580	447	1133	step 2	
174	35320	-1	6870	445	6425	step 2	
3356	35320	-1	6747	445	6302	step 2	
1299	35320	-1	2510	445	2065	step 2	
174	35598	-1	6870	442	6428	step 2	
1299	35598	-1	2510	442	2068	step 2	
6939	35598	-1	10884	442	10442	step 2	
3216	35598	-1	1669	442	1227	step 2	
31133	35598	-1	951	442	509	step 2	
174	7545	-1	6870	437	6433	step 2	
1299	7545	-1	2510	437	2073	step 2	
6453	7545	-1	648	437	211	step 2	
35280	7545	-1	4749	437	4312	step 2	
1299	29691	-1	2510	427	2083	step 2	
8758	29691	-1	1352	427	925	step 2	
174	23947	-1	6870	420	6450	step 2	
3257	23947	-1	1869	420	1449	step 2	
6939	23947	-1	10884	420	10464	step 2	
23764	23947	-1	649	420	229	step 2	
9318	23947	-1	529	420	109	step 2	
174	58299	-1	6870	419	6451	step 2	
6830	58299	-1	350	419	-69	step 2	
6939	58299	-1	10884	419	10465	step 2	
9002	58299	-1	2932	419	2513	step 2	
34549	58299	-1	2288	419	1869	step 2	
13030	58299	-1	851	419	432	step 2	
25369	58299	-1	723	419	304	step 2	
174	8881	-1	6870	417	6453	step 2	
3356	8881	-1	6747	417	6330	step 2	
1299	8881	-1	2510	417	2093	step 2	
6453	8881	-1	648	417	231	step 2	
174	262589	-1	6870	415	6455	step 2	
1299	262589	-1	2510	415	2095	step 2	
6762	262589	-1	688	415	273	step 2	
6453	262589	-1	648	415	233	step 2	
12956	262589	-1	261	415	-154	step 2	
6939	262589	-1	10884	415	10469	step 2	
37468	262589	-1	2817	415	2402	step 2	
22356	262589	-1	812	415	397	step 2	
174	53062	-1	6870	415	6455	step 2	
3356	53062	-1	6747	415	6332	step 2	
6762	53062	-1	688	415	273	step 2	
6453	53062	-1	648	415	233	step 2	
6939	53062	-1	10884	415	10469	step 2	
37468	53062	-1	2817	415	2402	step 2	
7195	53062	-1	2558	415	2143	step 2	
52320	53062	-1	1794	415	1379	step 2	
16735	53062	-1	819	415	404	step 2	
52468	53062	-1	520	415	105	step 2	
262589	53062	-1	415	415	0	step 2	
174	3326	-1	6870	408	6462	step 2	
1299	3326	-1	2510	408	2102	step 2	
6939	3326	-1	10884	408	10476	step 2	
9002	3326	-1	2932	408	2524	step 2	
3257	13237	-1	1869	403	1466	step 2	
2914	13237	-1	1580	403	1177	step 2	
3356	3223	-1	6747	400	6347	step 2	
1299	3223	-1	2510	400	2110	step 2	
2914	3223	-1	1580	400	1180	step 2	
3491	3223	-1	744	400	344	step 2	
6762	3223	-1	688	400	288	step 2	
12956	3223	-1	261	400	-139	step 2	
8708	3223	-1	492	400	92	step 2	
3356	28283	-1	6747	400	6347	step 2	
7195	28283	-1	2558	400	2158	step 2	
4230	28283	-1	621	400	221	step 2	
13786	28283	-1	485	400	85	step 2	
174	4800	-1	6870	397	6473	step 2	
1299	4800	-1	2510	397	2113	step 2	
2914	4800	-1	1580	397	1183	step 2	
6453	4800	-1	648	397	251	step 2	
6939	4800	-1	10884	397	10487	step 2	
